satellites;latitude;longitude;date;heure
5;47.834197;1.943073;09/15/2026;10:00:54
5;47.834190;1.943101;09/15/2026;10:00:55
5;47.834175;1.943083;09/15/2026;10:00:58
5;47.834167;1.943084;09/15/2026;10:00:59
5;47.834171;1.943080;09/15/2026;10:01:00
5;47.834163;1.943061;09/15/2026;10:01:01
5;47.834163;1.943052;09/15/2026;10:01:02
5;47.834159;1.943040;09/15/2026;10:01:03
6;47.834182;1.943023;09/15/2026;10:01:04
5;47.834213;1.943005;09/15/2026;10:01:05
5;47.834232;1.942988;09/15/2026;10:01:06
5;47.834243;1.942967;09/15/2026;10:01:07
5;47.834262;1.942940;09/15/2026;10:01:08
6;47.834278;1.942921;09/15/2026;10:01:09
6;47.834281;1.942905;09/15/2026;10:01:10
6;47.834281;1.942890;09/15/2026;10:01:11
6;47.834281;1.942872;09/15/2026;10:01:12
6;47.834289;1.942854;09/15/2026;10:01:13
6;47.834289;1.942837;09/15/2026;10:01:14
6;47.834289;1.942829;09/15/2026;10:01:15
6;47.834289;1.942812;09/15/2026;10:01:16
6;47.834285;1.942796;09/15/2026;10:01:18
6;47.834289;1.942760;09/15/2026;10:01:19
6;47.834293;1.942738;09/15/2026;10:01:20
6;47.834259;1.942723;09/15/2026;10:01:21
6;47.834239;1.942704;09/15/2026;10:01:22
6;47.834228;1.942689;09/15/2026;10:01:23
6;47.834213;1.942672;09/15/2026;10:01:24
6;47.834201;1.942657;09/15/2026;10:01:25
5;47.834186;1.942645;09/15/2026;10:01:26
5;47.834171;1.942633;09/15/2026;10:01:27
4;47.834159;1.942618;09/15/2026;10:01:28
4;47.834144;1.942606;09/15/2026;10:01:29
4;47.834129;1.942589;09/15/2026;10:01:30
4;47.834114;1.942578;09/15/2026;10:01:31
4;47.834098;1.942564;09/15/2026;10:01:32
4;47.834087;1.942550;09/15/2026;10:01:33
6;47.834072;1.942536;09/15/2026;10:01:34
6;47.834056;1.942522;09/15/2026;10:01:35
6;47.834041;1.942510;09/15/2026;10:01:36
6;47.834026;1.942498;09/15/2026;10:01:37
5;47.834011;1.942486;09/15/2026;10:01:38
5;47.833992;1.942474;09/15/2026;10:01:39
5;47.833980;1.942465;09/15/2026;10:01:40
5;47.833965;1.942456;09/15/2026;10:01:41
6;47.833946;1.942448;09/15/2026;10:01:42
6;47.833927;1.942449;09/15/2026;10:01:43
5;47.833911;1.942447;09/15/2026;10:01:44
5;47.833896;1.942456;09/15/2026;10:01:45
5;47.833881;1.942469;09/15/2026;10:01:46
5;47.833869;1.942487;09/15/2026;10:01:47
5;47.833862;1.942503;09/15/2026;10:01:48
5;47.833854;1.942521;09/15/2026;10:01:49
5;47.833843;1.942541;09/15/2026;10:01:50
5;47.833831;1.942556;09/15/2026;10:01:51
5;47.833827;1.942571;09/15/2026;10:01:52
5;47.833816;1.942587;09/15/2026;10:01:53
5;47.833805;1.942603;09/15/2026;10:01:54
5;47.833797;1.942616;09/15/2026;10:01:55
5;47.833789;1.942632;09/15/2026;10:01:56
5;47.833782;1.942649;09/15/2026;10:01:57
5;47.833774;1.942666;09/15/2026;10:01:58
5;47.833763;1.942682;09/15/2026;10:01:59
5;47.833755;1.942702;09/15/2026;10:02:00
5;47.833747;1.942720;09/15/2026;10:02:01
5;47.833736;1.942737;09/15/2026;10:02:02
5;47.833728;1.942753;09/15/2026;10:02:03
5;47.833721;1.942770;09/15/2026;10:02:04
5;47.833713;1.942786;09/15/2026;10:02:05
5;47.833705;1.942800;09/15/2026;10:02:06
5;47.833694;1.942817;09/15/2026;10:02:07
5;47.833683;1.942835;09/15/2026;10:02:08
5;47.833679;1.942854;09/15/2026;10:02:09
5;47.833675;1.942870;09/15/2026;10:02:10
5;47.833671;1.942890;09/15/2026;10:02:11
5;47.833667;1.942909;09/15/2026;10:02:12
5;47.833660;1.942930;09/15/2026;10:02:13
5;47.833656;1.942953;09/15/2026;10:02:14
5;47.833644;1.942974;09/15/2026;10:02:15
5;47.833637;1.942993;09/15/2026;10:02:16
5;47.833625;1.943008;09/15/2026;10:02:17
5;47.833614;1.943027;09/15/2026;10:02:18
5;47.833602;1.943041;09/15/2026;10:02:19
5;47.833599;1.943058;09/15/2026;10:02:20
5;47.833595;1.943087;09/15/2026;10:02:21
5;47.833591;1.943105;09/15/2026;10:02:22
5;47.833591;1.943133;09/15/2026;10:02:23
5;47.833583;1.943156;09/15/2026;10:02:24
5;47.833576;1.943174;09/15/2026;10:02:25
5;47.833564;1.943193;09/15/2026;10:02:26
5;47.833560;1.943219;09/15/2026;10:02:27
6;47.833553;1.943240;09/15/2026;10:02:28
6;47.833541;1.943250;09/15/2026;10:02:29
6;47.833522;1.943251;09/15/2026;10:02:30
6;47.833511;1.943266;09/15/2026;10:02:31
6;47.833496;1.943267;09/15/2026;10:02:32
6;47.833480;1.943272;09/15/2026;10:02:33
6;47.833461;1.943282;09/15/2026;10:02:34
6;47.833442;1.943294;09/15/2026;10:02:35
6;47.833431;1.943310;09/15/2026;10:02:36
6;47.833419;1.943319;09/15/2026;10:02:37
6;47.833408;1.943330;09/15/2026;10:02:38
5;47.833400;1.943348;09/15/2026;10:02:39
5;47.833389;1.943364;09/15/2026;10:02:40
5;47.833377;1.943381;09/15/2026;10:02:41
5;47.833370;1.943400;09/15/2026;10:02:42
5;47.833366;1.943423;09/15/2026;10:02:43
6;47.833354;1.943440;09/15/2026;10:02:44
6;47.833354;1.943463;09/15/2026;10:02:45
6;47.833370;1.943486;09/15/2026;10:02:46
6;47.833381;1.943501;09/15/2026;10:02:47
5;47.833389;1.943515;09/15/2026;10:02:48
6;47.833396;1.943526;09/15/2026;10:02:49
5;47.833408;1.943538;09/15/2026;10:02:50
5;47.833419;1.943540;09/15/2026;10:02:51
5;47.833427;1.943542;09/15/2026;10:02:52
5;47.833442;1.943536;09/15/2026;10:02:53
5;47.833454;1.943537;09/15/2026;10:02:54
5;47.833469;1.943531;09/15/2026;10:02:55
5;47.833480;1.943524;09/15/2026;10:02:56
5;47.833496;1.943536;09/15/2026;10:02:57
